permit_number,particion,duracion_dias,duracion_log,tipo_permiso,agente,distrito,inspector,analysis_neighborhood,permit_zipcode,n_segmentos,lag_aprob_inicio,anio_aprobacion,mes_inicio,largo_proposito,tiene_proposito,permit_start_date,permit_end_date,Latitude,Longitude
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,5,Sin asignar,Tenderloin,94102,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.78419044809,-122.41433588526
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Russian Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79282054681,-122.42114142685
25EXC-04312,train,478.0,6.171700597410915,Excavation,Michael O'Shaugnessy Construction Inc.,1,Joyce Bulatao,Outer Richmond,94118,1.5992712724397389,0.2028596543569046,0.247534501480716,1.060259958694945,0.05873126610488817,1,2025-10-20,2027-02-10,37.77485228302,-122.47521854166
25EXC-04312,train,478.0,6.171700597410915,Excavation,Michael O'Shaugnessy Construction Inc.,1,Joyce Bulatao,Outer Richmond,Desconocido,1.5992712724397389,0.2028596543569046,0.247534501480716,1.060259958694945,0.05873126610488817,1,2025-10-20,2027-02-10,37.77482800425,-122.47575096885
26EXC-01206,train,564.0,6.336825731146441,Excavation,"Esquivel Grading & Paving, Inc.",3,Garland Wong,Nob Hill,Desconocido,1.0669874269585307,0.2937897029876635,0.5436811197885065,-0.29067099492484416,0.3595085930970121,1,2026-06-15,2027-12-31,37.78748710338,-122.41836486747
25EXC-04312,train,478.0,6.171700597410915,Excavation,Michael O'Shaugnessy Construction Inc.,1,Joyce Bulatao,Outer Richmond,94121,1.5992712724397389,0.2028596543569046,0.247534501480716,1.060259958694945,0.05873126610488817,1,2025-10-20,2027-02-10,37.77765248054,-122.4958449289
25EXC-04312,train,478.0,6.171700597410915,Excavation,Michael O'Shaugnessy Construction Inc.,1,Joyce Bulatao,Outer Richmond,94121,1.5992712724397389,0.2028596543569046,0.247534501480716,1.060259958694945,0.05873126610488817,1,2025-10-20,2027-02-10,37.77576048243,-122.47581961901
25EXC-04312,train,478.0,6.171700597410915,Excavation,Michael O'Shaugnessy Construction Inc.,1,Joyce Bulatao,Outer Richmond,94121,1.5992712724397389,0.2028596543569046,0.247534501480716,1.060259958694945,0.05873126610488817,1,2025-10-20,2027-02-10,37.77760379657,-122.4969169718
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Nob Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79275122852,-122.41816793695
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.77684369022,-122.41238730964
25EXC-04312,train,478.0,6.171700597410915,Excavation,Michael O'Shaugnessy Construction Inc.,1,Joyce Bulatao,Outer Richmond,Desconocido,1.5992712724397389,0.2028596543569046,0.247534501480716,1.060259958694945,0.05873126610488817,1,2025-10-20,2027-02-10,37.77296239644,-122.47561362594
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,5,Sin asignar,Tenderloin,94102,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.78139508364,-122.41377098166
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Russian Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79248815742,-122.42022733029
25EXC-06100,train,81.0,4.406719247264253,Excavation,Pacific Gas & Electric,7,Don Doan,West of Twin Peaks,Desconocido,-0.7187390223977809,0.22352557450025887,0.5436811197885065,0.38479448188505044,-0.24204606088723576,1,2026-08-07,2026-10-27,37.73785488652,-122.46028183991
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,5,Sin asignar,Tenderloin,94102,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.78511979394,-122.41452370239
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,5,Sin asignar,Tenderloin,94102,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.78219585653,-122.41125763575
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Nob Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79227893825,-122.4218735201
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.77600756671,-122.41133777693
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Nob Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79193954041,-122.42096302838
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Tenderloin,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.78698681806,-122.41490103504
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.77724190671,-122.41288717825
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Nob Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79214853552,-122.4193117598
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.77775136108,-122.41278551911
25EXC-05457,train,419.0,6.040254711277414,Excavation,Otros,5,Eduard Rizal Salvador,Hayes Valley,94102,-0.5813754493703723,0.2028596543569046,0.247534501480716,1.7357254355048397,0.7730774177111825,1,2025-12-08,2027-01-31,37.77525360122,-122.42264556753
26EXC-01206,train,564.0,6.336825731146441,Excavation,"Esquivel Grading & Paving, Inc.",3,Garland Wong,Tenderloin,Desconocido,1.0669874269585307,0.2937897029876635,0.5436811197885065,-0.29067099492484416,0.3595085930970121,1,2026-06-15,2027-12-31,37.78656596948,-122.41817885343
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.78024217726,-122.41222283164
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.77565589334,-122.41029825355
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,5,Sin asignar,Tenderloin,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.78605113341,-122.41471192722
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,3,Sin asignar,Nob Hill,94109,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.79345283241,-122.41620235881
26EXC-01641,test,180.0,5.198497031265826,Excavation,Ronan Construction Inc.,6,Sin asignar,South of Market,94103,0.03676062925296632,0.2524578627009549,0.5436811197885065,-0.6284037333297915,0.5850915883411051,1,2026-05-01,2026-10-28,37.77313935904,-122.41006465138
