variable,parseadas,NaT,1er campo > 12,legibles de ambas formas,% ambiguas,cambian al invertir
Approved Date,6834,0,0,2480,36.3,2392
permit_start_date,6017,0,0,2473,41.1,2257
permit_end_date,6141,0,0,1554,25.3,1439
