variable,pct_ausente,mediana_presente,mediana_ausente,razon
Permit Purpose,26.3,452,3934,8.7
Inspector,38.5,459,675,1.47
Cross Street 2,16.0,478,521,1.09
permit_zipcode,13.6,478,487,1.02
