tramo,n,minima,mediana
<3 meses,1810,2.0,66.0
3-12 meses,1497,98.0,364.0
1-2 anios,993,437.0,587.0
2-5 anios,51,997.0,3939.0
>5 anios,1107,591.0,3939.0
